date,balance
01/01/2015,"1,017.37"
01/07/2015,"3,020.85"
01/01/2016,"5,094.90"
01/07/2016,"7,691.22"
01/01/2017,"10,936.07"
01/07/2017,"13,915.11"
01/01/2018,"17,058.16"
01/07/2018,"19,780.12"
01/01/2019,"20,246.05"
01/07/2019,"25,989.06"
01/01/2020,"29,388.60"
01/07/2020,"26,929.00"
01/01/2021,"29,858.55"
01/07/2021,"32,443.80"
01/01/2022,"34,540.85"
01/07/2022,"30,836.32"
01/01/2023,"31,450.10"
01/07/2023,"33,502.33"
01/01/2024,"35,825.37"
01/07/2024,"40,092.17"
01/01/2025,"42,747.07"
